current_step,population,hh_income,gini,unemployment,housing_price_indexes,n_matching_housing,tom_buy,tom_sell,total_posted_jobs,skill,n_matching_labour,recruit_outside,tom_labour,person_income_old,skill_old,n_posted_jobs_old,n_applicants_old,n_workers_old,person_income_service,skill_service,n_posted_jobs_service,n_applicants_service,n_workers_service,person_income_new,skill_new,n_posted_jobs_new,n_applicants_new,n_workers_new,person_income_unemployed,skill_unemployed,n_posted_jobs_unemployed,n_applicants_unemployed,n_workers_unemployed,n_houses_for_sale,n_bids,gdp,wealth_gini,person_income
1,15007,2.818853886666522,0.39400429747454463,0.1012,1,0,0.0,1.0,0,0.4025289699671494,0,0,0.9993416721527321,3.010733799015607,0.5000236044392911,0,0.0,6037,1.001042902145272,0.2548567435509316,0,0.0,4409,3.002624437978076,0.5000287639710717,0,0.0,3042,0.0,0.24842585252202265,0,0.0,1519,1.0,0.0,31723.381640544874,0.0,2.113905620080298
2,15011,2.8174746036797256,0.39425697834434364,0.1017,1,0,0.16666666666666666,1.3333333333333333,2,0.40266704500835515,2,0,1.9934469200524247,3.0106993980215195,0.5000563286944996,0,0.0,6036,1.001214470555892,0.2549806639618075,1,1526,4409,3.003084028448635,0.5001534909884674,1,10,3040,0.0,0.2499466924035837,0,0.0,1526,3.0,1.0,31716.311613622507,0.0,2.112871335262319
3,15015,2.816589303768966,0.39448010971459657,0.102,1,0,0.7,1.5714285714285714,5,0.40271184784592623,4,0,2.9810581319399088,3.010648270600887,0.5001302602344381,1,13,6035,1.0011868213241892,0.2550781796535796,1,1520,4409,3.002790777250027,0.5003428519502765,3,26,3040,0.0,0.25000020305047366,0,0.0,1531,7.0,3.0,31711.978971134624,0.0,2.1120199114974882
4,15012,2.814668392752533,0.39477145198700136,0.1026,1,0,1.2142857142857142,1.7333333333333334,6,0.40271607584703034,4,0,3.951948051948052,3.0104859980684306,0.5002066509903659,2,16,6030,1.001322300648084,0.25497936120759895,1,1522,4405,3.0031830077404726,0.5005124665832144,3,32,3037,0.0,0.2507059597474144,0,0.0,1540,15.0,7.0,31684.722097215097,0.0,2.110626305436668
5,15014,2.8161496751464408,0.3945492946442396,0.1022,1,0,1.7222222222222223,2.3684210526315788,18,0.4028358653280495,13,0,4.939413680781759,3.0109203667375155,0.5003464017796954,7,39,6035,1.0014713862778237,0.255374535308495,5,3867,4407,3.003832854753541,0.5006159289943813,6,32,3037,0.0,0.2493687256250165,0,0.0,1535,19.0,11.0,31707.029192473623,0.0,2.111830903987863
6,15018,2.8164263534707006,0.3946767235479225,0.1025,1,0,2.2790697674418605,2.6666666666666665,11,0.4029450034225309,7,0,5.909681611435998,3.011522592369418,0.5004147431604017,2,6,6032,1.0017868101867946,0.2555319575573287,3,4139,4408,3.004797697796765,0.5007837122851587,6,54,3039,0.0,0.24994136459306301,0,0.0,1539,27.0,17.0,31712.96074007994,-3.760912822069461e-17,2.1116633866080763
7,15020,2.81629831718125,0.39473332916829545,0.1027,1,0,2.82,3.4827586206896552,11,0.40299086296419273,6,0,6.889753566796369,3.0120575333479263,0.5005008625721434,5,45,6030,1.0016222116709395,0.25558407699989605,2,2769,4408,3.0054203008699214,0.5008355446605417,4,27,3040,0.0,0.25016076084861333,0,0.0,1542,29.0,24.0,31714.33534977791,0.0,2.1114737250185125
8,15019,2.8157858287364417,0.3948218517788291,0.103,1,0,3.183333333333333,4.0606060606060606,12,0.4030753507892477,6,0,7.849385908209437,3.0126909036188105,0.5005797925267372,7,61,6029,1.0014408773682535,0.2557351483047673,2,2533,4405,3.0046320352266727,0.5008822797703696,3,11,3038,0.0,0.2505490821817253,0,0.0,1547,33.0,34.0,31702.932645743447,0.0,2.1108550932647714
9,15026,2.816745265745667,0.3946617689036224,0.103,1,0,3.6911764705882355,4.435897435897436,18,0.40322982938056257,12,1,8.819767441860465,3.012849106768484,0.5007551879143303,8,52,6031,1.0016207644588646,0.2559764746310376,5,3908,4407,3.004846304497042,0.5010403563967302,5,36,3040,0.0,0.2504043093126388,0,0.0,1548,39.0,43.0,31719.368437561792,0.0,2.110965555541192
10,15029,2.8163587048150207,0.3946101713924976,0.1034,1,0,4.142857142857143,4.760869565217392,12,0.40331753440689344,6,0,9.761904761904763,3.012425131494056,0.5008548228242566,6,35,6029,1.0016280983376533,0.2561952453925389,3,3822,4406,3.0065562025883477,0.5010753763126442,3,40,3040,0.0,0.2507980068235476,0,0.0,1554,46.0,56.0,31715.01537492179,0.0,2.1102545328978604
11,15032,2.8166541595051857,0.39466189545843205,0.1036,1,0,4.829268292682927,5.469387755102041,15,0.4034434416343007,8,1,10.715478484264612,3.013082058416964,0.5009735344475845,8,73,6028,1.002411271501493,0.25641181589703954,4,3818,4407,3.0068006653627837,0.5011846915326911,3,20,3040,0.0,0.25117855753316226,0,0.0,1557,49.0,69.0,31721.15914434724,0.0,2.1102420931577566
12,15029,2.8154997303331597,0.39507757908225616,0.1039,1.1092340980687139,2,5.2,5.722222222222222,15,0.4034486256875689,5,0,11.663677130044842,3.012937070044737,0.501031247389738,9,65,6023,1.0026774405771441,0.256516958341961,3,3095,4406,3.006847708946702,0.5012130716755119,3,28,3039,0.0,0.25132475922710995,0,0.0,1561,56.0,83.0,31702.526963551212,-3.760912822069461e-17,2.1094235786513655
13,15036,2.8163236924457324,0.3949115802110401,0.1038,1.1134023178783663,7,5.604166666666667,5.92,22,0.4035026930054463,8,1,12.62011531069827,3.0138545573833397,0.5011836408713944,14,73,6026,1.0031229753804312,0.25674020088966826,4,2779,4410,3.006847708946702,0.5012374201175224,4,31,3039,0.0,0.25076813996046143,0,0.0,1561,57.0,89.0,31723.07007170858,0.0,2.1098077993953663
14,15033,2.8175771937178085,0.3949140127124627,0.1039,1.1333815917862737,8,6.255102040816326,5.88,15,0.40364979995565836,5,2,13.568501920614597,3.0142097141689095,0.5012690994371123,11,54,6027,1.0025539648370914,0.2568628974034132,0,0.0,4404,3.007904471323668,0.5013015676185332,4,48,3040,0.0,0.2507923269532424,0,0.0,1562,58.0,72.0,31725.919201262364,-3.760912822069461e-17,2.1104183596928436
15,15031,2.817668089453568,0.39484319128920853,0.1039,0.9179249390590654,2,6.764705882352941,5.928571428571429,19,0.40366909101849346,9,1,14.505445227418322,3.014852785711969,0.5013578607719702,10,77,6024,1.0019344769978038,0.257203736896009,6,4108,4408,3.006864381522279,0.5013304280975447,3,13,3038,0.0,0.25020784177493754,0,0.0,1561,58.0,49.0,31712.85434679975,7.65514178311167e-05,2.1098299745060145
16,15033,2.818149723576639,0.3948110167560256,0.1042,0.9957067236276903,6,7.09433962264151,6.052631578947368,20,0.40389828248410575,6,4,15.425925925925926,3.0156269777932563,0.5016255741571646,13,77,6025,1.002150963951488,0.25746975993816806,2,1535,4405,3.0068585616466326,0.5014144203326807,5,16,3037,0.0,0.25067618723414115,0,0.0,1566,63.0,51.0,31715.456989131348,5.487365908429411e-05,2.1097224099734913
17,15033,2.8203527644568687,0.39435753630653336,0.1035,1.0760876352891937,3,7.63963963963964,6.631578947368421,23,0.40407977894486424,13,2,16.42866323907455,3.0165263412575127,0.5018632711553596,12,90,6031,1.0020157950139632,0.2577083539357926,5,3178,4408,3.0064234283793425,0.5014707887338355,6,18,3038,0.0,0.24958049371324176,0,0.0,1556,60.0,45.0,31743.070363961913,5.213906632294886e-05,2.1115592605575766
18,15031,2.8213707629202256,0.39420936734559736,0.1035,1.072403505194957,2,7.136363636363637,6.934426229508197,13,0.40425745010860337,8,0,17.383676092544988,3.0170962143170437,0.5020273671669969,6,52,6027,1.0020700671049954,0.2579172240308383,2,2391,4407,3.007531126260387,0.5015863090442413,5,44,3041,0.0,0.24981337953694413,0,0.0,1556,63.0,53.0,31746.063824378238,5.2942462626481024e-05,2.1120393735864798
